Latitude (decimal degrees):	51.503
Longitude (decimal degrees):	10.781
Elevation (m):	188
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: -1 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,13.46,6.76,0.0
20230101:0110,0.0,0.0,0.0,0.0,13.48,6.55,0.0
20230101:0210,0.0,0.0,0.0,0.0,13.43,6.34,0.0
20230101:0310,0.0,0.0,0.0,0.0,13.12,6.21,0.0
20230101:0410,0.0,0.0,0.0,0.0,12.74,6.41,0.0
20230101:0510,0.0,0.0,0.0,0.0,12.49,6.55,0.0
20230101:0610,0.0,0.0,0.0,0.0,12.25,6.41,0.0
20230101:0710,0.0,0.0,0.0,0.0,11.89,5.93,0.0
20230101:0810,183.97,44.41,1.03,4.73,11.72,5.86,0.0
20230101:0910,350.77,98.15,2.76,10.27,12.16,5.79,0.0
20230101:1010,201.02,136.41,3.16,13.95,12.62,5.66,0.0
20230101:1110,0.0,40.69,0.86,15.46,12.83,5.59,0.0
20230101:1210,0.0,46.11,0.97,14.66,12.46,5.31,0.0
20230101:1310,0.0,27.12,0.57,11.62,12.59,5.24,0.0
20230101:1410,9.34,35.23,0.74,6.62,12.38,4.83,0.0
20230101:1510,0.0,0.0,0.0,0.0,11.76,4.28,0.0
20230101:1610,0.0,0.0,0.0,0.0,11.07,3.66,0.0
20230101:1710,0.0,0.0,0.0,0.0,10.57,3.03,0.0
20230101:1810,0.0,0.0,0.0,0.0,10.47,2.62,0.0
20230101:1910,0.0,0.0,0.0,0.0,10.71,2.41,0.0
20230101:2010,0.0,0.0,0.0,0.0,10.07,2.28,0.0
20230101:2110,0.0,0.0,0.0,0.0,9.26,2.28,0.0
20230101:2210,0.0,0.0,0.0,0.0,9.37,2.62,0.0
20230101:2310,0.0,0.0,0.0,0.0,10.16,3.38,0.0
20230102:0010,0.0,0.0,0.0,0.0,11.01,4.14,0.0
20230102:0110,0.0,0.0,0.0,0.0,11.53,4.34,0.0
20230102:0210,0.0,0.0,0.0,0.0,11.62,3.93,0.0
20230102:0310,0.0,0.0,0.0,0.0,11.4,4.21,0.0
20230102:0410,0.0,0.0,0.0,0.0,11.19,4.28,0.0
20230102:0510,0.0,0.0,0.0,0.0,10.9,4.0,0.0
20230102:0610,0.0,0.0,0.0,0.0,10.76,4.21,0.0
20230102:0710,0.0,0.0,0.0,0.0,11.8,4.69,0.0
20230102:0810,140.05,43.86,0.95,4.76,11.42,4.34,0.0
20230102:0910,65.47,83.23,1.77,10.31,11.67,4.76,0.0
20230102:1010,0.0,61.48,1.3,14.01,12.0,5.45,0.0
20230102:1110,0.0,64.19,1.35,15.54,11.59,5.59,0.0
20230102:1210,83.4,122.85,2.71,14.76,11.36,5.52,0.0
20230102:1310,29.92,78.79,1.7,11.74,11.56,5.38,0.0
20230102:1410,0.0,6.33,0.13,6.74,11.21,4.9,0.0
20230102:1510,0.0,0.0,0.0,0.0,10.39,4.41,0.0
20230102:1610,0.0,0.0,0.0,0.0,9.73,4.07,0.0
20230102:1710,0.0,0.0,0.0,0.0,9.31,3.72,0.0
20230102:1810,0.0,0.0,0.0,0.0,8.85,3.59,0.0
20230102:1910,0.0,0.0,0.0,0.0,8.62,3.59,0.0
20230102:2010,0.0,0.0,0.0,0.0,8.38,3.79,0.0
20230102:2110,0.0,0.0,0.0,0.0,8.0,3.93,0.0
20230102:2210,0.0,0.0,0.0,0.0,7.5,3.86,0.0
20230102:2310,0.0,0.0,0.0,0.0,6.88,3.86,0.0
20230103:0010,0.0,0.0,0.0,0.0,6.58,3.72,0.0
20230103:0110,0.0,0.0,0.0,0.0,6.51,3.66,0.0
20230103:0210,0.0,0.0,0.0,0.0,6.49,3.38,0.0
20230103:0310,0.0,0.0,0.0,0.0,6.32,3.24,0.0
20230103:0410,0.0,0.0,0.0,0.0,6.21,3.17,0.0
20230103:0510,0.0,0.0,0.0,0.0,6.09,3.03,0.0
20230103:0610,0.0,0.0,0.0,0.0,5.96,2.97,0.0
20230103:0710,0.0,0.0,0.0,0.0,5.71,3.1,0.0
20230103:0810,181.15,45.83,1.05,4.79,5.63,3.1,0.0
20230103:0910,271.43,111.81,2.65,10.37,5.79,3.31,0.0
20230103:1010,490.71,120.0,4.21,14.08,6.08,3.52,0.0
20230103:1110,543.7,126.49,4.8,15.63,6.26,3.86,0.0
20230103:1210,560.03,112.02,4.65,14.87,6.78,3.86,0.0
20230103:1310,462.0,99.51,3.56,11.86,7.21,3.59,0.0
20230103:1410,281.1,70.83,1.77,6.87,7.3,2.76,0.0
20230103:1510,0.0,0.0,0.0,0.0,6.85,2.69,0.0
20230103:1610,0.0,0.0,0.0,0.0,6.29,2.76,0.0
